X,Y,S@6hr
466.75,1883.0,76.306856
721.0,1829.0,69.01535
964.75,2312.0,63.85895
1201.62,2798.0,66.62438
1402.0,3149.5,65.04162
1604.5,3598.5,60.15271
1599.75,3622.0,60.27758
1358.12,3734.5,64.421594
1129.12,3268.5,66.18954000000001
949.62,2903.5,71.610945
436.62,3119.0,89.37338
253.25,2620.0,76.15829
401.37,2557.5,72.51692
142.62,2663.0,76.66447
294.5,2201.0,68.00726
472.37,1929.5,75.35475000000001
445.87,1942.0,74.377894
269.0,3365.0,93.620247
370.75,3977.5,89.578015
423.12,4223.0,84.737325
751.25,4070.0,74.436295
1042.37,3899.0,68.144244
1811.0,3975.5,57.639533
2224.5,4007.0,56.826645
2534.37,3879.0,57.526153
2554.37,3921.0,57.804140000000004
2071.5,3353.0,55.57851
2507.75,3103.5,55.55527
2560.37,3072.0,56.52759699999999
2622.87,3032.5,57.026390000000006
2510.0,3292.5,57.834697
3120.0,3477.5,67.31311
3536.87,3477.5,74.271035
3610.5,3379.5,76.537764
2843.62,4391.5,55.76979
3346.25,4137.0,54.61691
3372.62,4837.0,56.540596
3370.0,5194.0,55.35038
3837.25,4872.0,65.335983
4325.25,4520.5,75.74244
4041.37,4131.5,72.76312
3785.0,3744.5,74.213314
3697.5,3618.5,77.2727
3777.87,3576.5,78.464663
3948.87,3505.5,81.34758
3677.62,3468.0,77.75223
3699.75,3450.0,78.18528
4693.0,4294.5,92.134726
4237.75,3549.0,90.67560999999999
4500.75,3600.5,100.00001
4523.12,3632.0,100.00009999999999
1622.0,1894.0,60.76165
1381.25,2693.0,63.395137
1606.5,2516.5,60.451317
1826.12,2280.0,56.86167
2003.87,2083.0,57.63781
2078.25,2116.0,57.103443
2581.87,2340.0,55.253816
2311.0,1681.0,58.634969999999996
2602.37,1892.5,59.48987
2833.37,1792.0,59.615134999999995
1614.5,1624.5,64.42559
1477.37,1356.5,61.315580000000004
1578.12,1338.0,61.908686
1544.87,1141.0,60.609055
1461.62,1003.5,59.41904
1420.0,932.5,58.91168
1243.75,974.0,59.16662
1071.62,1075.0,58.60727
1015.62,985.5,59.10822
917.25,1041.5,59.80619
893.0,975.0,59.75404399999999
671.37,1074.5,62.545043
501.62,1277.0,65.56379
434.5,1576.5,69.57499
1700.87,862.5,57.587849999999996
2407.25,787.0,58.504389999999994
2667.5,1204.0,55.468810000000005
2646.12,1159.0,55.42496
2549.25,972.0,56.049733999999994
2750.62,1471.5,57.532830000000004
2985.37,1340.0,56.252449999999996
3185.12,1409.5,57.360667
2892.62,2009.5,61.03944
3148.12,1746.5,58.68626999999999
2943.75,2190.0,61.836284
3538.75,1981.0,68.13046299999999
3580.5,2107.5,69.84457400000001
3756.25,2408.0,76.27583999999999
3719.37,1723.5,62.05681
3808.62,1594.0,60.60815
3248.75,828.0,57.360699999999994
3270.87,582.0,63.536215
3274.62,540.0,64.18428
3600.87,369.0,70.595145
3681.62,266.0,74.506354
3397.87,935.5,59.366304
2945.87,2624.0,61.87788
3072.12,2815.0,65.41991
3379.87,2606.0,71.29252000000001
3499.0,2805.5,70.40788500000001
3621.62,2983.0,70.46713
3410.0,3085.5,71.20004
3612.37,2486.5,74.11299
3958.12,3095.5,82.594615
4029.12,3182.0,84.82499
4165.87,3074.5,89.62056000000001
4249.25,3020.0,84.77708
4516.37,2865.5,77.67054
4023.0,2250.0,66.55423
4222.37,2132.5,63.193374999999996
4016.25,1811.0,61.664019999999994
4410.37,2457.0,67.609805
5426.25,4022.5,72.41933
5136.25,3895.5,72.81435
5578.0,3571.0,64.61944
4932.62,2713.5,66.901654
5283.62,2549.0,60.527724000000006
5847.75,2048.5,56.948730000000005
4940.0,1741.0,57.804126
5111.62,2005.0,56.622130000000006
5438.12,2033.0,55.382149999999996
5784.62,1869.0,55.861956
5554.12,1400.0,56.82393999999999
5373.0,994.0,64.15988
3956.0,1078.5,60.520357000000004
4109.12,1316.0,62.065107
4412.0,1003.5,69.15222399999999
5002.25,528.0,87.24855000000001
4763.87,0.0,97.79524
5159.5,367.0,90.647644
3872.37,2340.5,71.647435
3136.0,2775.5,66.58139
730.0,1818.5,70.55902499999999
748.37,1864.5,72.921264
753.5,1858.0,70.29106
1623.25,1658.5,64.66255
1632.25,1660.5,65.81618
1609.37,1628.0,64.45977
1951.12,1474.5,65.1219
2017.5,1546.0,64.939517
2391.25,1565.5,57.657665
2580.37,1515.0,57.600695
2891.25,1433.5,57.2106
1701.62,931.5,58.015775999999995
2764.75,627.5,59.584444999999995
2765.5,603.5,59.64117
3556.37,277.0,72.140425
4382.62,237.0,90.81519
4827.75,95.0,96.17884
4998.5,194.5,93.475723
5199.37,682.0,81.95295999999999
4484.0,921.5,71.68693999999999
4713.12,793.5,78.32374
4320.0,878.0,65.78272
4250.12,876.0,64.12958
5714.62,1673.0,55.932987
5662.62,1654.0,55.963194
5593.5,1526.0,56.36191
4771.5,1816.0,57.4326
3508.25,1612.0,59.68188
3407.37,1606.5,59.078675999999994
3520.0,1445.0,59.03525
3474.25,1458.0,58.852123999999996
5390.37,2545.5,59.8818
6008.37,3191.5,62.46391
5220.75,4164.0,74.654317
4877.0,4254.0,84.174615
4519.75,4371.5,84.85647
4692.75,4080.0,94.88168999999999
4568.25,3720.5,100.00001
3746.12,3557.5,77.316153
4406.12,3464.5,99.347514
3490.0,3228.5,72.861093
3359.62,3113.0,70.80868500000001
3291.62,2994.5,67.74671
3251.87,3003.5,67.46185
2997.62,4343.5,56.094915
2667.5,3862.5,56.441635
3111.25,3527.5,66.05053
2416.62,3952.5,58.41822
2805.12,2947.0,60.788053
3036.87,2694.0,63.755419999999994
2998.75,2683.5,63.181424
2903.75,2583.5,61.048820000000006
3037.25,2580.0,61.56118000000001
2589.5,2940.5,55.50283
2583.75,2656.0,55.748427
2841.5,2456.5,60.251343
2584.12,2306.5,55.345904999999995
1474.87,3283.0,63.20216
873.62,3986.5,70.178455
868.25,4014.0,70.5324
448.75,3747.5,100.00007
304.37,3804.5,95.12061
357.0,3200.0,90.68173
0.0,2342.0,75.86467
524.0,2094.0,71.459883
583.0,1496.0,67.591196
697.87,1174.5,64.402974
2779.37,1799.5,59.631955999999995
3241.75,2690.5,68.64016
4558.5,2875.5,76.59797999999999
3087.87,2808.5,65.80416
5129.12,651.5,85.07916300000001
5576.5,2334.0,59.571
5679.5,2276.5,58.816797
5918.75,2724.0,59.929140000000004
5688.25,3423.0,63.59920999999999
5652.37,3489.5,63.777280000000005
1505.12,1997.0,62.52356999999999
1705.75,3759.0,59.75461
1993.12,4020.5,56.72145
2992.37,2340.5,61.31399
3907.5,2659.0,81.164825
4010.62,2595.5,71.9132
4478.37,2768.0,73.46294
3754.5,2744.0,76.863647
3869.0,1510.0,60.087942999999996
4273.37,1193.0,65.54937
4834.5,700.5,81.692433
5603.0,1502.0,56.399339999999995
5534.87,1407.0,56.9156
5297.87,2045.0,55.969950000000004
5230.37,2039.0,56.198685999999995
5867.0,2117.0,57.459235
5115.0,4180.5,77.50044
2499.12,3091.0,55.485969999999995
2695.37,2991.5,58.43773
1869.75,2025.5,58.467406
1199.0,2183.5,64.00083
398.12,3697.5,99.38046
3777.37,851.0,59.174040000000005
4914.12,3794.0,81.415313
1513.25,1689.0,65.98982
384.75,1795.5,74.86175
361.75,1785.5,74.63618
392.5,1609.0,70.44586000000001
479.0,1569.5,69.09192
581.87,1439.5,67.218965
390.0,4002.0,88.83526
2633.0,3060.5,57.45258
2805.12,1198.0,55.291706
3080.37,1399.0,56.93085
3913.87,1653.5,60.75033
