ID,Demand
Outlet1,0.00035999999999999997
Outlet2,0.00108
Outlet3,0.00234
Outlet5,0.0016200000000000001
Outlet9,0.00017999999999999998
Outlet10,0.0014399999999999999
Outlet11,0.00017999999999999998
Outlet13,0.00066
Outlet15,0.0064800000000000005
Outlet17,0.00017999999999999998
Outlet18,0.00017999999999999998
Outlet20,0.00017999999999999998
Outlet21,0.00054
Outlet22,0.00017999999999999998
Outlet25,6e-05
Outlet26,0.00017999999999999998
Outlet27,0.00216
Outlet28,0.00054
Outlet30,0.00035999999999999997
Outlet31,0.00017999999999999998
Outlet32,0.00035999999999999997
Outlet33,0.0009000000000000001
Outlet34,0.00108
Outlet35,0.00108
Outlet36,0.0018000000000000002
Outlet37,0.00017999999999999998
Outlet38,0.0009000000000000001
Outlet39,0.00017999999999999998
Outlet40,0.00017999999999999998
Outlet41,0.0030600000000000002
Outlet42,0.00108
Outlet43,0.00054
Outlet44,0.0057599999999999995
Outlet45,0.0014399999999999999
Outlet49,0.00126
Outlet50,0.0007199999999999999
Outlet52,0.00017999999999999998
Outlet54,0.00017999999999999998
