ID,Demand
Outlet1,0.00024
Outlet2,0.0007199999999999999
Outlet3,0.0015600000000000002
Outlet5,0.00108
Outlet9,0.00012
Outlet10,0.00096
Outlet11,0.00012
Outlet13,0.00044
Outlet15,0.00432
Outlet17,0.00012
Outlet18,0.00012
Outlet20,0.00012
Outlet21,0.00035999999999999997
Outlet22,0.00012
Outlet25,4e-05
Outlet26,0.00012
Outlet27,0.0014399999999999999
Outlet28,0.00035999999999999997
Outlet30,0.00024
Outlet31,0.00012
Outlet32,0.00024
Outlet33,0.0006
Outlet34,0.0007199999999999999
Outlet35,0.0007199999999999999
Outlet36,0.0012
Outlet37,0.00012
Outlet38,0.0006
Outlet39,0.00012
Outlet40,0.00012
Outlet41,0.00204
Outlet42,0.0007199999999999999
Outlet43,0.00035999999999999997
Outlet44,0.00384
Outlet45,0.00096
Outlet49,0.00084
Outlet50,0.00048
Outlet52,0.00012
Outlet54,0.00012
